yyyy-mm-dd,pr_GFDL-ESM2M_rcp45(mm),tasmin_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),was_GFDL-ESM2M_rcp45(ms-1),huss_GFDL-ESM2M_rcp45(kgkg-1)
2/19/07,10.983111,275.908783,279.646484,4.415937,0.003824
2/20/07,3.210682,273.327393,278.223297,7.215159,0.003359
2/21/07,0.151784,271.100769,280.193939,4.3992,0.002958
2/22/07,5.78895,276.579681,280.264465,3.387075,0.003813
2/23/07,7.824918,275.775085,280.357391,3.843031,0.003671
2/24/07,1.967513,268.688293,277.200287,8.466269,0.002799
2/25/07,0.402475,267.082001,274.673065,7.007401,0.002114
2/26/07,0,264.948242,274.140808,5.386858,0.001642
2/27/07,1.880343,268.334961,275.442047,1.945275,0.002405
2/28/07,1.430993,263.263214,276.916016,5.983843,0.002308
3/1/07,0.857381,258.334961,268.285095,5.269997,0.000851
3/2/07,0,255.107498,264.563446,1.135221,0.00083
3/3/07,11.473615,260.589752,276.84726,5.477507,0.002037
3/4/07,0.313198,269.458344,281.017639,5.365648,0.002382
3/5/07,0,261.960205,272.718201,1.218329,0.001389
3/6/07,0,265.343109,277.25882,3.458878,0.00179
3/7/07,0,268.581421,282.812195,3.503813,0.002784
3/8/07,0.1847,272.505524,280.813049,2.13649,0.0031
3/9/07,6.192432,269.797974,276.587433,6.153596,0.002807
3/10/07,2.063031,266.046021,274.273315,2.892454,0.002196
3/11/07,2.041821,272.674103,282.722748,2.671703,0.003789
3/12/07,0.43939,268.00354,276.267975,5.289637,0.001963
3/13/07,1.291639,267.152374,273.654663,4.566605,0.001486
3/14/07,1.09303,265.005585,271.989105,4.273036,0.001329
